13,27-Mar-20,PURCHASE,382.56,26.14,"₹ 10,000",124561215
13,20-Jan-20,PURCHASE,111.48,35.88,"₹ 4,000",110845875
13,10-Jan-20,PURCHASE,285.96,34.97,"₹ 10,000",109174700
11,20-Jan-20,PURCHASE,157.72,25.36,"₹ 4,000",110845552
11,16-Jan-20,PURCHASE,790.36,25.3,"₹ 20,000",110196400
8,02-Jun-20,PURCHASE,334.4,14.95,"₹ 5,000",138119862
8,22-May-20,PURCHASE,384.54,13,"₹ 5,000",136295680
8,15-May-20,PURCHASE,361.34,13.84,"₹ 5,000",135295221
8,08-May-20,PURCHASE,282.93,14.14,"₹ 4,000",133201700
8,04-May-20,PURCHASE,209.57,14.31,"₹ 3,000",132260786
8,01-Apr-20,PURCHASE,378.45,13.21,"₹ 5,000",125590029
6,02-Jun-20,PURCHASE,129.92,38.48,"₹ 5,000",138092983
6,22-May-20,PURCHASE,81.43,36.84,"₹ 3,000",136295690
6,08-May-20,PURCHASE,80.62,37.21,"₹ 3,000",133201706
6,27-Mar-20,PURCHASE,307.04,32.57,"₹ 10,000",124561221
6,21-Jan-20,PURCHASE,276.91,36.11,"₹ 10,000",110996467
10,02-Jun-20,PURCHASE,449.24,11.13,"₹ 5,000",138092982
5,22-May-20,PURCHASE,200.1,14.99,"₹ 3,000",136295685
5,08-May-20,PURCHASE,203.6,14.73,"₹ 3,000",133201703
5,04-May-20,PURCHASE,359.68,13.9,"₹ 5,000",132260772
5,27-Mar-20,PURCHASE,810.6,12.34,"₹ 10,000",124561213
